id,name_en,name_ar,slug,active,created_at,updated_at
2,Kitchen Equipment,معدات المطبخ,kitchen-equipment,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
3,Bakery Equipment,معدات المخابز,bakery-equipment,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
4,Coffee Shop Equipment,معدات المقاهي,coffee-shop-equipment,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
5,Ice Machine,آلة صنع الثلج,ice-machine,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
8,Refrigerator,ثلاجة,refrigerator,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
9,Display Cabinet,خزائن عرض,display-cabinet,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
11,Accessories,Accessories,accessories,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
12,Packing Machines,ماكينات التعبئة والتغليف,packing-machines,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
13,Dish Washing Machine,غسالة الأطباق,dish-washing-machine,true,2025-12-07 09:02:02.726012+00,2025-12-07 09:02:02.726012+00
